# Parte A – EMG emulado extendido | 20260422_151228
# Fs=1000 Hz | Duracion=52 s | Repeticiones=11
# Tiempo[s]	Amplitud[V]
0.302000	0.526704
0.303000	0.525738
0.304000	0.533463
0.305000	0.528313
0.306000	0.537647
0.307000	0.520589
0.308000	0.532175
0.309000	0.524129
0.310000	0.531210
0.311000	0.520267
0.312000	0.519945
0.313000	0.499025
0.314000	0.481967
0.315000	0.480680
0.316000	0.469737
0.317000	0.457506
0.318000	0.470380
0.319000	0.499990
0.320000	0.538290
0.321000	0.556314
0.322000	0.575947
0.323000	0.580131
0.324000	0.595901
0.325000	0.589786
0.326000	0.581096
0.327000	0.578200
0.328000	0.581418
0.329000	0.543440
0.330000	0.511255
0.331000	0.509646
0.332000	0.439483
0.333000	0.402470
0.334000	0.396355
0.335000	0.366423
0.336000	0.347756
0.337000	0.352584
0.338000	0.361595
0.339000	0.383481
0.340000	0.385090
0.341000	0.395711
0.342000	0.391206
0.343000	0.380263
0.344000	0.383803
0.345000	0.364814
0.346000	0.352906
0.347000	0.350331
0.348000	0.331020
0.349000	0.339388
0.350000	0.320721
0.351000	0.313318
0.352000	0.310743
0.353000	0.310421
0.354000	0.322652
0.355000	0.307203
0.356000	0.308490
0.357000	0.282742
0.358000	0.264719
0.359000	0.264719
0.360000	0.272443
0.361000	0.261179
0.362000	0.259247
0.363000	0.261822
0.364000	0.241868
0.365000	0.228994
0.366000	0.235431
0.367000	0.219982
0.368000	0.236074
0.369000	0.228994
0.370000	0.248305
0.371000	0.279202
0.372000	0.281133
0.373000	0.375435
0.374000	0.622293
0.375000	0.629052
0.376000	-0.009496
0.377000	0.130186
0.378000	0.133726
0.379000	0.217407
0.380000	0.226097
0.381000	0.221269
0.382000	0.180395
0.383000	0.164302
0.384000	0.172670
0.385000	0.180716
0.386000	0.199705
0.387000	0.205499
0.388000	0.206142
0.389000	0.189084
0.390000	0.185544
0.391000	0.187153
0.392000	0.153037
0.393000	0.116025
0.394000	0.115381
0.395000	0.077081
0.396000	-0.074188
0.397000	-0.086096
0.398000	-0.396681
0.399000	-0.453004
0.400000	-0.426934
0.401000	-0.014002
0.402000	0.294973
0.403000	0.318790
0.404000	0.362561
0.405000	0.251201
0.406000	0.179429
0.407000	0.158509
0.408000	0.122140
0.409000	0.104116
0.410000	0.103794
0.411000	0.111197
0.412000	0.133726
0.413000	0.139198
0.414000	0.146600
0.415000	0.153359
0.416000	0.153359
0.417000	0.172026
0.418000	0.146279
0.419000	0.143704
0.420000	0.098323
0.421000	0.069678
0.422000	0.071931
0.423000	0.092530
0.424000	0.134692
0.425000	0.147566
0.426000	0.161084
0.427000	0.223200
0.428000	0.329089
0.429000	0.335848
0.430000	0.421137
0.431000	0.143382
0.432000	0.191659
0.433000	0.868186
0.434000	0.929981
0.435000	0.836001
0.436000	-0.595583
0.437000	-0.887822
0.438000	-0.752645
0.439000	-0.270838
0.440000	-0.074510
0.441000	-0.070004
0.442000	-0.112166
0.443000	-0.070648
0.444000	-0.063245
0.445000	-0.018508
0.446000	-0.047475
0.447000	-0.053268
0.448000	-0.061636
0.449000	-0.044578
0.450000	-0.015611
0.451000	-0.008209
0.452000	-0.003381
0.453000	-0.043612
0.454000	-0.043290
0.455000	-0.021083
0.456000	0.000803
0.457000	-0.007887
0.458000	0.005309
0.459000	-0.016899
0.460000	0.003056
0.461000	-0.039750
0.462000	-0.299160
0.463000	-0.367392
0.464000	-0.207112
0.465000	0.154325
0.466000	0.198418
0.467000	0.254098
0.468000	0.126646
0.469000	0.026229
0.470000	0.022045
0.471000	-0.040072
0.472000	-0.067429
0.473000	-0.066142
0.474000	-0.091246
0.475000	-0.091890
0.476000	-0.085453
0.477000	-0.054233
0.478000	-0.015290
0.479000	-0.017864
0.480000	0.025907
0.481000	0.053586
0.482000	0.050689
0.483000	0.066460
0.484000	0.085127
0.485000	0.065816
0.486000	0.033631
0.487000	0.011424
0.488000	0.001447
0.489000	-0.003059
0.490000	-0.009496
0.491000	-0.036532
0.492000	-0.035888
0.493000	-0.065176
0.494000	-0.076763
0.495000	-0.073866
0.496000	-0.056808
0.497000	-0.025589
0.498000	-0.023336
0.499000	0.009493
0.500000	0.032344
0.501000	0.039103
0.502000	0.014642
0.503000	-0.053590
0.504000	-0.059061
0.505000	-0.132121
0.506000	-0.167846
0.507000	-0.162053
0.508000	-0.133086
0.509000	-0.092533
0.510000	-0.076441
0.511000	-0.077406
0.512000	-0.073222
0.513000	-0.042325
0.514000	-0.044578
0.515000	-0.046509
0.516000	-0.045865
0.517000	-0.047475
0.518000	-0.046187
0.519000	-0.046187
0.520000	-0.045222
0.521000	-0.043934
0.522000	-0.042325
0.523000	-0.040394
0.524000	-0.040072
0.525000	-0.039428
0.526000	-0.039750
0.527000	-0.039428
0.528000	-0.040072
0.529000	-0.039750
0.530000	-0.042647
0.531000	-0.044900
0.532000	-0.046831
0.533000	-0.046831
0.534000	-0.046509
0.535000	-0.046509
0.536000	-0.046509
0.537000	-0.044900
0.538000	-0.042647
0.539000	-0.040716
0.540000	-0.040394
0.541000	-0.039750
0.542000	-0.040072
0.543000	-0.039428
0.544000	-0.040072
0.545000	-0.040394
0.546000	-0.042003
0.547000	-0.043290
0.548000	-0.046187
0.549000	-0.046831
0.550000	-0.047475
0.551000	-0.047796
0.552000	-0.046831
0.553000	-0.045543
0.554000	-0.044900
0.555000	-0.050371
0.556000	-0.049727
0.557000	-0.029129
0.558000	-0.040072
0.559000	-0.036532
0.560000	-0.040394
0.561000	-0.054233
0.562000	-0.047475
0.563000	-0.076441
0.564000	-0.063889
0.565000	-0.080303
0.566000	-0.099292
0.567000	-0.118603
0.568000	-0.121822
0.569000	-0.140167
0.570000	-0.157869
0.571000	-0.150788
0.572000	-0.154328
0.573000	-0.140489
0.574000	-0.132764
0.575000	-0.132443
0.576000	-0.130190
0.577000	-0.128902
0.578000	-0.141776
0.579000	-0.123431
0.580000	-0.106051
0.581000	-0.116672
0.582000	-0.079338
0.583000	-0.062280
0.584000	-0.061314
0.585000	-0.042647
0.586000	-0.014968
0.587000	-0.022370
0.588000	0.016252
0.589000	0.052299
0.590000	0.064851
0.591000	0.102829
0.592000	0.134048
0.593000	0.124715
0.594000	0.112806
0.595000	0.014964
0.596000	-0.086418
0.597000	-0.088027
0.598000	-0.134696
0.599000	-0.128259
0.600000	-0.136949
0.601000	-0.109591
0.602000	-0.089637
0.603000	-0.097039
0.604000	-0.098327
0.605000	-0.116028
0.606000	-0.114419
0.607000	-0.139845
0.608000	-0.206790
0.609000	-0.206146
0.610000	-0.326839
0.611000	-0.243480
0.612000	-0.070648
0.613000	0.133083
0.614000	0.219982
0.615000	0.090921
0.616000	0.097357
0.617000	0.086415
0.618000	0.061310
0.619000	0.054552
0.620000	0.073219
0.621000	0.108300
0.622000	0.110231
0.623000	0.222557
0.624000	0.349043
0.625000	0.356768
0.626000	-0.020439
0.627000	1.081571
0.628000	1.293992
0.629000	1.219001
0.630000	-0.603951
0.631000	-0.732369
0.632000	-1.351284
0.633000	-0.957663
0.634000	-0.446567
0.635000	-0.204859
0.636000	0.186510
0.637000	0.316858
0.638000	0.310100
0.639000	0.161727
0.640000	0.018505
0.641000	0.012711
0.642000	-0.031382
0.643000	0.013355
0.644000	0.020114
0.645000	0.076437
0.646000	0.113450
0.647000	0.110553
0.648000	0.132117
0.649000	0.164302
0.650000	0.163980
0.651000	0.204211
0.652000	0.275984
0.653000	0.317180
0.654000	0.401505
0.655000	0.602982
0.656000	0.801563
0.657000	0.957981
0.658000	0.575303
0.659000	-0.095752
0.660000	0.019792
0.661000	0.763907
0.662000	0.479714
0.663000	0.487117
0.664000	0.502565
0.665000	0.325227
0.666000	0.317180
0.667000	0.081265
0.668000	-0.094786
0.669000	-0.095430
0.670000	-0.215158
0.671000	-0.281459
0.672000	-0.278884
0.673000	-0.296586
0.674000	-0.302379
0.675000	-0.286608
0.676000	-0.282746
0.677000	-0.252492
0.678000	-0.216445
0.679000	-0.209686
0.680000	-0.180398
0.681000	-0.137914
0.682000	-0.131799
0.683000	-0.102833
0.684000	-0.073544
0.685000	-0.071613
0.686000	-0.056164
0.687000	-0.038141
0.688000	-0.036210
0.689000	-0.034279
0.690000	-0.021727
0.691000	-0.021405
0.692000	-0.003059
0.693000	0.026551
0.694000	0.034275
0.695000	0.059701
0.696000	0.097036
0.697000	0.097036
0.698000	0.103794
0.699000	0.091886
0.700000	0.090921
0.701000	0.083196
0.702000	0.103151
0.703000	0.110875
0.704000	0.096392
0.705000	0.111197
0.706000	0.096070
0.707000	0.101220
0.708000	0.089955
0.709000	0.078368
0.710000	0.070644
0.711000	0.063242
0.712000	0.077725
0.713000	0.076759
0.714000	0.058736
0.715000	0.053264
0.716000	0.054873
0.717000	0.051655
0.718000	0.044252
0.719000	0.063563
0.720000	0.065173
0.721000	0.092208
0.722000	0.117634
0.723000	0.117312
0.724000	0.137267
0.725000	0.163658
0.726000	0.163337
0.727000	0.174923
0.728000	0.200349
0.729000	0.191659
0.730000	0.235109
0.731000	0.270512
0.732000	0.260857
0.733000	0.294651
0.734000	0.278558
0.735000	0.284674
0.736000	0.262788
0.737000	0.220626
0.738000	0.198740
0.739000	0.189406
0.740000	0.180395
0.741000	0.199705
0.742000	0.193268
0.743000	0.144347
0.744000	0.030413
0.745000	0.030413
0.746000	-0.034601
0.747000	-0.039750
0.748000	-0.041681
0.749000	-0.041681
0.750000	-0.023658
0.751000	-0.040072
0.752000	-0.020439
0.753000	-0.000806
0.754000	-0.003703
0.755000	0.054230
0.756000	0.105404
0.757000	0.132117
0.758000	0.169130
0.759000	0.142416
0.760000	0.102507
0.761000	0.093173
0.762000	-0.167202
0.763000	0.224166
0.764000	0.224488
0.765000	-0.191341
0.766000	0.146922
0.767000	0.153359
0.768000	0.237040
0.769000	0.267616
0.770000	0.275018
0.771000	0.287892
0.772000	0.245086
0.773000	0.241868
0.774000	0.185866
0.775000	0.141129
0.776000	0.141129
0.777000	0.110875
0.778000	0.095105
0.779000	0.103473
0.780000	0.108300
0.781000	0.124715
0.782000	0.085771
0.783000	0.085127
0.784000	0.039747
0.785000	-0.034922
0.786000	-0.034279
0.787000	-0.082556
0.788000	-0.070004
0.789000	-0.067429
0.790000	-0.018508
0.791000	0.035241
0.792000	0.035241
0.793000	0.094461
0.794000	0.157865
0.795000	0.156900
0.796000	0.220304
0.797000	0.228350
0.798000	0.211292
0.799000	0.194234
0.800000	0.160118
0.801000	0.141773
0.802000	0.138554
0.803000	0.124715
0.804000	0.113772
0.805000	0.122462
0.806000	0.109910
0.807000	0.119887
0.808000	0.111519
0.809000	0.142094
0.810000	0.155612
0.811000	0.154647
0.812000	0.173314
0.813000	0.179429
0.814000	0.179751
0.815000	0.186510
0.816000	0.192625
0.817000	0.177820
0.818000	0.193912
0.819000	0.211614
0.820000	0.220947
0.821000	0.233178
0.822000	0.244121
0.823000	0.220947
0.824000	0.229316
0.825000	0.199062
0.826000	0.154003
0.827000	0.152716
0.828000	0.105404
0.829000	0.065494
0.830000	0.064529
0.831000	0.040390
0.832000	0.053264
0.833000	0.042321
0.834000	0.051977
0.835000	0.064207
0.836000	0.045862
0.837000	0.047471
0.838000	0.045218
0.839000	0.046505
0.840000	0.039425
0.841000	0.048115
0.842000	0.055839
0.843000	0.059379
0.844000	0.051655
0.845000	0.065494
